NumDash,NumNumericChars,NumSensitiveWords,PctExtHyperlinks,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,PctExtResourceUrlsRT,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,1,1,-1,1
3,0,0,0.016129032,0.064516129,0,0,1,0,1,0
0,2,0,0.044444444,0,0,0,1,0,1,0
1,5,0,0.039215686,0,0,0,1,1,1,0
0,1,0,0.833333333,0.166666667,1,0,1,-1,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,4,0,0,0,1,0,1,1,1,1
0,1,0,0,1,0,0,1,1,-1,1
1,0,1,0,0,0,0,1,1,1,1
6,0,0,0.137096774,0.088709677,0,1,-1,-1,1,0
0,5,0,0.026666667,0,0,1,1,0,1,0
5,7,0,0.118421053,0.197368421,0,0,-1,0,0,0
0,0,0,1,0,1,0,-1,-1,-1,1
1,0,0,0,0,0,0,1,1,1,1
7,0,0,0.156862745,0.029411765,0,1,-1,0,1,0
0,0,0,0.777777778,0.222222222,0,0,1,0,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,15,0,0,1,0,0,1,1,-1,1
1,1,0,0.923076923,0,1,0,1,-1,-1,1
1,1,0,0.020833333,0,0,0,1,-1,1,0
0,1,0,0,1,1,0,-1,1,-1,1
0,0,0,0.090909091,0.909090909,1,0,-1,0,-1,1
0,0,0,0.153846154,0.076923077,0,0,1,0,1,0
6,0,0,0.130630631,0.04954955,0,1,1,0,1,0
1,2,0,1,0,0,0,1,0,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,2,0,1,0,1,0,-1,-1,-1,1
0,0,1,0,1,0,0,1,0,-1,1
1,4,0,0,0,0,0,1,-1,1,1
0,4,0,0.015873016,0.126984127,0,0,1,0,1,0
8,23,0,0.125,0.03125,0,0,0,0,1,0
0,6,0,0.125,0.041666667,0,0,1,0,1,0
0,1,0,0.036363636,0.363636364,0,1,1,1,0,0
2,8,0,0.321167883,0.02189781,0,0,-1,0,0,0
0,6,0,0.158333333,0,0,0,1,1,1,0
